country,youtube_video,youtube_id
Alankomaat,http://www.youtube.com/watch?v=evv2SXOOWWk,evv2SXOOWWk
Albania,http://www.youtube.com/watch?v=_Pf-ZCI-UuA,_Pf-ZCI-UuA
Armenia,http://www.youtube.com/watch?v=HzNiW1tRRpg,HzNiW1tRRpg
Azerbaidžan,http://www.youtube.com/watch?v=r5egVzkZGTg,r5egVzkZGTg
Belgia,http://www.youtube.com/watch?v=ovkalJVXpEw,ovkalJVXpEw
Bulgaria,http://www.youtube.com/watch?v=bExp3aNOFsE,bExp3aNOFsE
EJT Makedonia,http://www.youtube.com/watch?=-LwGGo5ZfF8,-LwGGo5ZfF8
Espanja,http://www.youtube.com/watch?v=WQCvukXs35Y,WQCvukXs35Y
Georgia,http://www.youtube.com/watch?v=CvdcRmzuXKM,CvdcRmzuXKM
Irlanti,http://www.youtube.com/watch?v=iGaZKoim43U,iGaZKoim43U
Islanti,http://www.youtube.com/watch?v=PtunhyMW1hM,PtunhyMW1hM
Iso-Britannia,http://www.youtube.com/watch?v=cqXk_FRw62Q,cqXk_FRw62Q